Foto,Diputado,Distrito,Inicia mandato,Finaliza mandato,Bloque
,"NAVARRO, GRACIELA",SANTIAGO DEL ESTERO,10/12/2011,9/12/2015,FRENTE CIVICO POR SANTIAGO
,"NEGRI, MARIO RAUL",CORDOBA,10/12/2011,9/12/2015,UCR
,"OLIVA, CRISTIAN RODOLFO",SANTIAGO DEL ESTERO,10/12/2013,9/12/2017,FRENTE CIVICO POR SANTIAGO
,"OLIVARES, HECTOR ENRIQUE",LA RIOJA,10/12/2011,9/12/2015,UCR
,"OPORTO, MARIO NESTOR",BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"ORTIZ, MARIELA",JUJUY,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"ORTIZ CORREA, MARCIA SARA MARIA",CATAMARCA,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"PAIS, JUAN MARIO",CHUBUT,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"PARRILLI, NANCI MARIA AGUSTINA",NEUQUEN,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"PASTORI, LUIS MARIO",MISIONES,10/12/2013,9/12/2017,UCR
,"PASTORIZA, MIRTA AMELIANA",SANTIAGO DEL ESTERO,10/12/2011,9/12/2015,FRENTE CIVICO POR SANTIAGO
,"PEDRINI, JUAN MANUEL",CHACO,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"PERALTA, FABIAN FRANCISCO",SANTA FE,10/12/2011,9/12/2015,GEN
,"PEREZ, MARTIN ALEJANDRO",TIERRA DEL FUEGO,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"PEREZ, ADRIAN",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE RENOVADOR
,"PERIE, JULIA ARGENTINA",MISIONES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"PEROTTI, OMAR ANGEL",SANTA FE,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"PERRONI, ANA MARIA",CORRIENTES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"PETRI, LUIS ALFONSO",MENDOZA,10/12/2013,9/12/2017,UCR
,"PIETRAGALLA CORTI, HORACIO",BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"PINEDO, FEDERICO",CIUDAD de BUENOS AIRES,10/12/2011,9/12/2015,UNION PRO
,"PITROLA, NESTOR ANTONIO",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,"PLAINI, FRANCISCO OMAR",BUENOS AIRES,10/12/2013,9/12/2017,"CULTURA, EDUCACION Y TRABAJO"
,"PORTELA, AGUSTIN ALBERTO",CORRIENTES,10/12/2011,9/12/2015,UCR
,"PRADINES, ROBERTO ARTURO",MENDOZA,10/12/2011,9/12/2015,DEMOCRATA DE MENDOZA
,"PUCHETA, RAMONA",BUENOS AIRES,10/12/2011,9/12/2015,FRENTE POR LA INCLUSION SOCIAL
,"PUIGGROS, ADRIANA VICTORIA",BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"RAIMUNDI, CARLOS",BUENOS AIRES,10/12/2011,9/12/2015,FRENTE NUEVO ENCUENTRO
,"RASINO, ELIDA ELENA",SANTA FE,10/12/2011,9/12/2015,PARTIDO SOCIALISTA
,"RECALDE, HECTOR PEDRO",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"REDCZUK, OSCAR FELIPE",MISIONES,10/12/2011,9/12/2015,FRENTE RENOVADOR DE LA CONCORDIA MISIONES - FPV-PJ
,"RICCARDO, JOSE LUIS",SAN LUIS,10/12/2013,9/12/2017,UCR
,"RIESTRA, ANTONIO SABINO",SANTA FE,10/12/2011,9/12/2015,UNIDAD POPULAR
,"RIOS, LILIANA MARIA",ENTRE RIOS,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"RISKO, SILVIA LUCRECIA",MISIONES,10/12/2013,9/12/2017,FRENTE RENOVADOR DE LA CONCORDIA MISIONES - FPV-PJ
,"RIVAROLA, RUBEN ARMANDO",JUJUY,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"RIVAS, JORGE",BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
